"location","date","Tmax","Tmin","Year","Month","Day","Solar","CO2","Global_Anomaly","ENSO_Index","ENSO_Phase","lat","DayLength","Daily_Heat","GDD_Cumulative","Is_Chill_Day","Chill_Cumulative","bloom_doy","Precip_Master","doy"
"kyoto",1951-01-01,7.9,1.3,1951,1,1,6.316,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.84072752453916,0,0,1,1,98,0,1
"kyoto",1951-01-02,6.9,-1.2,1951,1,2,6.182,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.84973941299059,0,0,1,2,98,0,2
"kyoto",1951-01-03,8.5,-3.3,1951,1,3,5.862,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.85960257925937,0,0,1,3,98,0,3
"kyoto",1951-01-04,5.1,-1.5,1951,1,4,5.70475,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.87030842061736,0,0,1,4,98,0,4
"kyoto",1951-01-05,7.4,1.4,1951,1,5,6.31575,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.88184765594868,0,0,1,5,98,0,5
"kyoto",1951-01-06,8.9,-1.5,1951,1,6,6.05333333333333,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.89421035317726,0,0,1,6,98,0,6
"kyoto",1951-01-07,6.7,1.3,1951,1,7,6.42846153846154,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.90738595822399,0,0,1,7,98,0.7,7
"kyoto",1951-01-08,11.1,-0.6,1951,1,8,6.30230769230769,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.92136332533026,0.25,0.25,1,8,98,0,8
"kyoto",1951-01-09,10.6,-0.7,1951,1,9,6.59815789473684,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.93613074858104,0,0.25,1,9,98,4.4,9
"kyoto",1951-01-10,8.5,5.1,1951,1,10,6.53157894736842,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.95167599445723,1.8,2.05,1,10,98,24.4,10
"kyoto",1951-01-11,9.6,4.2,1951,1,11,6.665,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.96798633524624,1.9,3.95,1,11,98,0,11
"kyoto",1951-01-12,8.5,0.6,1951,1,12,6.85194444444444,315.98,-0.07,0.431666666666667,"Neutral",35.0119,9.98504858313931,0,3.95,1,12,98,0,12
"kyoto",1951-01-13,3.4,-1.7,1951,1,13,6.42333333333333,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.0028491248459,0,3.95,1,13,98,0,13
"kyoto",1951-01-14,4.1,-1.7,1951,1,14,6.29555555555556,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.0213739565576,0,3.95,1,14,98,2.4,14
"kyoto",1951-01-15,7,-1.7,1951,1,15,5.99371428571429,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.0406087190983,0,3.95,1,15,98,0,15
"kyoto",1951-01-16,9.1,-4.6,1951,1,16,7.28484848484849,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.0605387331019,0,3.95,1,16,98,0,16
"kyoto",1951-01-17,11.1,-2.7,1951,1,17,6.715625,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.0811490340648,0,3.95,1,17,98,0.5,17
"kyoto",1951-01-18,12.3,-0.9,1951,1,18,6.895625,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.1024244071278,0.7,4.65,1,18,98,0,18
"kyoto",1951-01-19,7.7,1.9,1951,1,19,7.10625,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.1243494214478,0,4.65,1,19,98,12.2,19
"kyoto",1951-01-20,12.3,4.3,1951,1,20,6.5365625,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.14690846403,3.3,7.95,0,19,98,0.9,20
"kyoto",1951-01-21,4.3,-2.6,1951,1,21,6.52258064516129,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.1700857728997,0,7.95,1,20,98,0.3,21
"kyoto",1951-01-22,3.5,-3.6,1951,1,22,6.91258064516129,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.193865469499,0,7.95,0,20,98,0.6,22
"kyoto",1951-01-23,6.9,-5.4,1951,1,23,6.38451612903226,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.2182315902084,0,7.95,1,21,98,0,23
"kyoto",1951-01-24,9.4,1.6,1951,1,24,7.28533333333333,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.243168116898,0.5,8.45,1,22,98,0,24
"kyoto",1951-01-25,9.5,1.2,1951,1,25,7.186,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.2686590064259,0.35,8.8,1,23,98,0,25
"kyoto",1951-01-26,7.5,-0.5,1951,1,26,7.51241379310345,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.2946882190098,0,8.8,1,24,98,0,26
"kyoto",1951-01-27,8.1,-0.3,1951,1,27,7.88,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.3212397454083,0,8.8,1,25,98,0,27
"kyoto",1951-01-28,9.9,-2.9,1951,1,28,7.30428571428571,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.3482976328565,0,8.8,1,26,98,0,28
"kyoto",1951-01-29,12.7,-2.8,1951,1,29,7.87555555555556,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.3758460097133,0,8.8,1,27,98,0,29
"kyoto",1951-01-30,12.3,-1.5,1951,1,30,6.92925925925926,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.4038691087807,0.4,9.2,1,28,98,0,30
"kyoto",1951-01-31,12.2,0.5,1951,1,31,7.15230769230769,315.98,-0.07,0.431666666666667,"Neutral",35.0119,10.4323512892721,1.35,10.55,1,29,98,0.1,31
